"Date","Excel Time","CT Enable (2)","CT Enable (3)","CT Enable (4)","CT Enable (5)","CT Enable (6)","CT Enable (7)","CT Enable (8)","CT Enable (9)","CT Enable"
"7/8/2018 05:25:48.420 AM PDT","43289.22625486111","","0","","","","","","",""
"7/8/2018 05:33:48.180 AM PDT","43289.23180763889","","","","","1","","","",""
"7/8/2018 05:33:48.190 AM PDT","43289.23180775463","","","","","","","","1",""
"7/8/2018 05:33:48.440 AM PDT","43289.23181064815","","","","","","","","","1"
"7/8/2018 05:33:48.480 AM PDT","43289.23181111111","1","","","","","","","",""
"7/8/2018 05:33:48.560 AM PDT","43289.23181203703","","","1","","","","","",""
"7/8/2018 05:33:48.600 AM PDT","43289.2318125","","","","1","","","","",""
"7/8/2018 05:33:54.030 AM PDT","43289.23187534722","","","","","","1","","",""
"7/8/2018 05:33:54.040 AM PDT","43289.23187546297","","","","","","","1","",""
"7/8/2018 05:33:54.370 AM PDT","43289.23187928241","","1","","","","","","",""
"7/8/2018 11:03:02.040 AM PDT","43289.46044027778","","","","","0","","","",""
"7/8/2018 11:03:02.050 AM PDT","43289.46044039352","","","","","","0","0","0",""
"7/8/2018 11:03:02.140 AM PDT","43289.460441435185","","","","","","","","","0"
"7/8/2018 11:03:02.170 AM PDT","43289.46044178241","0","","","","","","","",""
"7/8/2018 11:03:02.210 AM PDT","43289.46044224537","","0","","","","","","",""
"7/8/2018 11:03:02.240 AM PDT","43289.46044259259","","","0","","","","","",""
"7/8/2018 11:03:02.280 AM PDT","43289.460443055556","","","","0","","","","",""
"7/8/2018 09:30:05.810 PM PDT","43289.895900578704","","","","","1","","","",""
"7/8/2018 09:30:05.820 PM PDT","43289.89590069445","","","","","","","","1",""
"7/8/2018 09:30:05.970 PM PDT","43289.89590243055","","","","","","","","","1"
"7/8/2018 09:30:06.010 PM PDT","43289.89590289352","1","","","","","","","",""
"7/8/2018 09:30:06.080 PM PDT","43289.8959037037","","","1","","","","","",""
"7/8/2018 09:30:06.120 PM PDT","43289.89590416667","","","","1","","","","",""
"7/8/2018 09:30:11.830 PM PDT","43289.89597025463","","","","","","1","","",""
"7/8/2018 09:30:11.840 PM PDT","43289.89597037037","","","","","","","1","",""
"7/8/2018 09:30:12.100 PM PDT","43289.89597337963","","1","","","","","","",""
"7/9/2018 06:07:18.020 AM PDT","43290.25506967593","","","","","","","","","0"
"7/9/2018 06:07:18.030 AM PDT","43290.25506979167","","","","","0","0","","",""
"7/9/2018 06:07:18.040 AM PDT","43290.255069907405","","","","","","","0","0",""
"7/9/2018 06:07:18.060 AM PDT","43290.25507013889","0","","","","","","","",""
"7/9/2018 06:07:18.100 AM PDT","43290.25507060185","","0","","","","","","",""
"7/9/2018 06:07:18.180 AM PDT","43290.255071527776","","","0","","","","","",""
"7/9/2018 06:07:18.220 AM PDT","43290.255071990745","","","","0","","","","",""
"7/9/2018 06:14:44.160 AM PDT","43290.260233333334","","","","","","","","1",""
"7/9/2018 06:14:44.240 AM PDT","43290.26023425926","","","","","1","","","",""
"7/9/2018 06:14:44.910 AM PDT","43290.26024201389","","","","","","","","","1"
"7/9/2018 06:14:44.950 AM PDT","43290.260242476856","1","","","","","","","",""
"7/9/2018 06:14:45.020 AM PDT","43290.26024328703","","","1","","","","","",""
"7/9/2018 06:14:45.060 AM PDT","43290.26024375","","","","1","","","","",""
"7/9/2018 06:14:50.100 AM PDT","43290.260302083334","","","","","","1","1","",""
"7/9/2018 06:14:50.930 AM PDT","43290.26031168981","","1","","","","","","",""
"7/9/2018 06:14:50.930 AM PDT","43290.26031168981","","1","","","","","","",""
"7/9/2018 06:17:18.040 AM PDT","43290.26201435185","","","","","","0","0","",""
"7/9/2018 06:17:19.380 AM PDT","43290.262029861115","","0","","","","","","",""
"7/9/2018 06:31:38.010 AM PDT","43290.27196770834","","","","","","1","","",""
"7/9/2018 06:31:38.020 AM PDT","43290.271967824076","","","","","","","1","",""
"7/9/2018 06:31:38.680 AM PDT","43290.271975462965","","1","","","","","","",""
"7/9/2018 11:29:38.040 AM PDT","43290.478912499995","","0","","","","","","",""
"7/9/2018 11:29:38.080 AM PDT","43290.478912962964","","","0","","","","","",""
"7/9/2018 11:29:38.110 AM PDT","43290.47891331019","","","","0","","","","",""
"7/9/2018 11:29:38.470 AM PDT","43290.47891747685","","","","","","","","","0"
"7/9/2018 11:29:38.520 AM PDT","43290.47891805555","0","","","","","","","",""
"7/9/2018 11:29:39.050 AM PDT","43290.47892418981","","","","","0","","","",""
"7/9/2018 11:29:39.060 AM PDT","43290.47892430556","","","","","","0","0","0",""
"7/9/2018 06:10:54.840 PM PDT","43290.75757916667","","","","","1","","","",""
"7/9/2018 06:10:54.850 PM PDT","43290.75757928241","","","","","","","","1",""
"7/9/2018 06:10:55.620 PM PDT","43290.75758819444","","","","","","","","","1"
"7/9/2018 06:10:55.660 PM PDT","43290.757588657405","1","","","","","","","",""
"7/9/2018 06:10:55.730 PM PDT","43290.7575894676","","","1","","","","","",""
"7/9/2018 06:10:55.770 PM PDT","43290.75758993055","","","","1","","","","",""
"7/9/2018 06:11:00.900 PM PDT","43290.75764930555","","","","","","","1","",""
"7/9/2018 06:11:01 PM PDT","43290.75765046296","","","","","","1","","",""
"7/9/2018 06:11:01.770 PM PDT","43290.757659375","","1","","","","","","",""
"7/9/2018 09:10:12.020 PM PDT","43290.882083564815","","","","","","","","","0"
"7/9/2018 09:10:12.070 PM PDT","43290.88208414352","0","","","","0","","","",""
"7/9/2018 09:10:12.080 PM PDT","43290.882084259254","","","","","","0","0","0",""
"7/9/2018 09:10:12.110 PM PDT","43290.88208460648","","0","","","","","","",""
"7/9/2018 09:10:12.140 PM PDT","43290.8820849537","","","0","","","","","",""
"7/9/2018 09:10:12.140 PM PDT","43290.8820849537","","","0","","","","","",""
"7/9/2018 09:10:12.190 PM PDT","43290.88208553241","","","","0","","","","",""
"7/9/2018 09:10:12.190 PM PDT","43290.88208553241","","","","0","","","","",""
"7/9/2018 09:30:05.520 PM PDT","43290.89589722222","","","","","1","","","",""
"7/9/2018 09:30:05.530 PM PDT","43290.89589733796","","","","","","","","1",""
"7/9/2018 09:30:05.660 PM PDT","43290.89589884259","","","","","","","","","1"
"7/9/2018 09:30:05.700 PM PDT","43290.89589930556","1","","","","","","","",""
"7/9/2018 09:30:05.780 PM PDT","43290.89590023148","","","1","","","","","",""
"7/9/2018 09:30:05.820 PM PDT","43290.89590069445","","","","1","","","","",""
"7/9/2018 09:30:11.750 PM PDT","43290.8959693287","","","","","","1","1","",""
"7/9/2018 09:30:11.930 PM PDT","43290.895971412036","","1","","","","","","",""
"7/10/2018 05:29:18.020 AM PDT","43291.22868078704","","","","0","","","","",""
"7/10/2018 05:29:18.040 AM PDT","43291.22868101852","","","","","0","0","0","",""
"7/10/2018 05:29:18.050 AM PDT","43291.228681134264","","","","","","","","0",""
"7/10/2018 05:29:18.310 AM PDT","43291.22868414352","","","","","","","","","0"
"7/10/2018 05:29:18.350 AM PDT","43291.22868460648","0","","","","","","","",""
"7/10/2018 05:29:18.380 AM PDT","43291.228684953705","","0","","","","","","",""
"7/10/2018 05:29:18.420 AM PDT","43291.22868541667","","","0","","","","","",""
"7/10/2018 05:36:21.890 AM PDT","43291.233586689814","","","","","1","","","",""
"7/10/2018 05:36:21.900 AM PDT","43291.23358680555","","","","","","","","1",""
"7/10/2018 05:36:22.590 AM PDT","43291.233594791665","","","","","","","","","1"
"7/10/2018 05:36:22.630 AM PDT","43291.23359525463","1","","","","","","","",""
"7/10/2018 05:36:22.700 AM PDT","43291.23359606482","","","1","","","","","",""
"7/10/2018 05:36:22.740 AM PDT","43291.233596527774","","","","1","","","","",""
"7/10/2018 05:36:38.140 AM PDT","43291.23377476852","","","","","","1","1","",""
"7/10/2018 05:36:38.880 AM PDT","43291.23378333333","","1","","","","","","",""
"7/10/2018 10:50:04.070 AM PDT","43291.451435995376","","","","","0","","","",""
"7/10/2018 10:50:04.080 AM PDT","43291.45143611111","","","","","","0","0","",""
"7/10/2018 10:50:04.090 AM PDT","43291.45143622685","","","","","","","","0",""
"7/10/2018 10:50:05.030 AM PDT","43291.45144710648","0","","","","","","","",""
"7/10/2018 10:50:05.070 AM PDT","43291.451447569445","","0","","","","","","",""
"7/10/2018 10:50:05.100 AM PDT","43291.45144791667","","","0","","","","","",""
"7/10/2018 10:50:05.140 AM PDT","43291.45144837963","","","","0","","","","",""
"7/10/2018 10:50:05.410 AM PDT","43291.45145150463","","","","","","","","","0"
"7/10/2018 06:12:57.240 PM PDT","43291.758995833334","","","","","1","","","",""
"7/10/2018 06:12:57.250 PM PDT","43291.75899594907","","","","","","","","1",""
"7/10/2018 06:12:58.110 PM PDT","43291.75900590278","","","","","","","","","1"
"7/10/2018 06:12:58.150 PM PDT","43291.75900636574","1","","","","","","","",""
